,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
156059,1991-12-14,60.0,Send Me An Angel,Scorpions,62.0,60.0,6;
156060,1991-12-14,61.0,Ain't Gonna Hurt Nobody,Kid 'N Play,61.0,61.0,5;
156061,1991-12-14,62.0,In My Dreams,The Party,64.0,62.0,5;
156062,1991-12-14,63.0,Kiss You Back,Digital Underground,63.0,61.0,5;
156063,1991-12-14,64.0,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,50.0,50.0,6;
156064,1991-12-14,65.0,On A Sunday Afternoon,Lighter Shade Of Brown,71.0,65.0,3;
156065,1991-12-14,66.0,I Wanna Be Your Girl,Icy Blu,67.0,66.0,7;
156066,1991-12-14,67.0,I Can't Make You Love Me,Bonnie Raitt,68.0,67.0,4;
156067,1991-12-14,68.0,All She Wrote,Firehouse,69.0,68.0,5;
156068,1991-12-14,69.0,Just Want To Hold You,Jasmine Guy,60.0,34.0,20;
156069,1991-12-14,70.0,A Day In My Life (Without You),Lisette Melendez,59.0,49.0,12;
156070,1991-12-14,71.0,Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,74.0,67.0,14;
156071,1991-12-14,72.0,Hearts Don't Think (They Feel),Natural Selection,92.0,72.0,2;
156072,1991-12-14,73.0,I Want You,Jody Watley,79.0,73.0,3;
156073,1991-12-14,74.0,Pop That Coochie,The 2 Live Crew,73.0,58.0,7;
156074,1991-12-14,75.0,Get A Leg Up,John Mellencamp,53.0,14.0,11;
156075,1991-12-14,76.0,No More Tears,Ozzy Osbourne,77.0,76.0,3;
156076,1991-12-14,77.0,The Comfort Zone,Vanessa Williams,86.0,77.0,2;
156077,1991-12-14,78.0,Love Crazy,Atlantic Starr,75.0,75.0,4;
156078,1991-12-14,79.0,Something Got Me Started,Simply Red,56.0,23.0,12;
156079,1991-12-14,80.0,Rush,Big Audio,76.0,32.0,13;
156080,1991-12-14,81.0,Conviction Of The Heart,Kenny Loggins,82.0,65.0,8;
156081,1991-12-14,82.0,Within My Heart,Voyce,87.0,82.0,3;
156082,1991-12-14,83.0,All Through The Night,Tone-Loc,,83.0,1;
156083,1991-12-14,84.0,Whispers,Corina,83.0,51.0,12;
156084,1991-12-14,85.0,What Time Is Love?,The KLF,85.0,57.0,8;
156085,1991-12-14,86.0,Real Real Real,Jesus Jones,70.0,4.0,17;
156086,1991-12-14,87.0,In Paradise,Laissez Faire,97.0,87.0,2;
156087,1991-12-14,88.0,Uhh Ahh,Boyz II Men,,88.0,1;
156088,1991-12-14,89.0,The Fly,U2,80.0,61.0,6;
156089,1991-12-14,90.0,Everybody Move,Cathy Dennis,,90.0,1;
156090,1991-12-14,91.0,All I Need Is You,Blue Train,81.0,46.0,11;
156091,1991-12-14,92.0,Insatiable,Prince And The N.P.G.,,92.0,1;
156092,1991-12-14,93.0,Right Down To It,Damian Dame,,93.0,1;
156093,1991-12-14,94.0,Just Another Girlfriend,Hi-Five,91.0,88.0,4;
156094,1991-12-14,95.0,Groovin',UB40,90.0,90.0,4;
156095,1991-12-14,96.0,Lies,EMF,78.0,18.0,12;
156096,1991-12-14,97.0,Monsters And Angels,Voice Of The Beehive,94.0,74.0,7;
156097,1991-12-14,98.0,Into The Great Wide Open,Tom Petty And The Heartbreakers,95.0,92.0,5;
156098,1991-12-14,99.0,Walk Through Fire,Bad Company,89.0,28.0,17;
156099,1991-12-14,100.0,Move Any Mountain,The Shamen,,100.0,1;
156100,1991-12-07,1.0,Black Or White,Michael Jackson,3.0,1.0,3;
156101,1991-12-07,2.0,When A Man Loves A Woman,Michael Bolton,2.0,1.0,9;
156102,1991-12-07,3.0,Set Adrift On Memory Bliss,P.M. Dawn,1.0,1.0,8;
156103,1991-12-07,4.0,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,4.0,4.0,12;
156104,1991-12-07,5.0,All 4 Love,Color Me Badd,7.0,5.0,5;
156105,1991-12-07,6.0,Blowing Kisses In The Wind,Paula Abdul,6.0,6.0,8;
156106,1991-12-07,7.0,Cream,Prince And The N.P.G.,5.0,1.0,11;
156107,1991-12-07,8.0,Can't Let Go,Mariah Carey,17.0,8.0,4;
156108,1991-12-07,9.0,That's What Love Is For,Amy Grant,11.0,7.0,11;
156109,1991-12-07,10.0,O.P.P.,Naughty By Nature,8.0,6.0,14;
156110,1991-12-07,11.0,Finally,CeCe Peniston,24.0,11.0,11;
156111,1991-12-07,12.0,Can't Stop This Thing We Started,Bryan Adams,10.0,2.0,13;
156112,1991-12-07,13.0,Keep Coming Back,Richard Marx,18.0,13.0,6;
156113,1991-12-07,14.0,Let's Talk About Sex,Salt-N-Pepa,13.0,13.0,16;
156114,1991-12-07,15.0,Wildside,Marky Mark & The Funky Bunch,21.0,15.0,5;
156115,1991-12-07,16.0,Don't Cry,Guns N' Roses,12.0,10.0,12;
156116,1991-12-07,17.0,2 Legit 2 Quit,M.C. Hammer,19.0,17.0,5;
156117,1991-12-07,18.0,Do Anything,Natural Selection,9.0,2.0,18;
156118,1991-12-07,19.0,Set The Night To Music,Roberta Flack With Maxi Priest,16.0,6.0,12;
156119,1991-12-07,20.0,No Son Of Mine,Genesis,22.0,20.0,6;
156120,1991-12-07,21.0,Street Of Dreams,Nia Peeples,20.0,12.0,9;
156121,1991-12-07,22.0,Romantic,Karyn White,14.0,1.0,17;
156122,1991-12-07,23.0,Emotions,Mariah Carey,15.0,1.0,15;
156123,1991-12-07,24.0,Hole Hearted,Extreme,23.0,4.0,19;
